StartTime,EndTime,AreaID,UnitName,Load
2022-01-16T13:00+00:00Z,2022-01-16T13:15+00:00Z,10Y1001A1001A83F,MAW,61219
2022-01-16T13:15+00:00Z,2022-01-16T13:30+00:00Z,10Y1001A1001A83F,MAW,61285
2022-01-16T13:30+00:00Z,2022-01-16T13:45+00:00Z,10Y1001A1001A83F,MAW,60689
2022-01-16T13:45+00:00Z,2022-01-16T14:00+00:00Z,10Y1001A1001A83F,MAW,60701
2022-01-16T14:00+00:00Z,2022-01-16T14:15+00:00Z,10Y1001A1001A83F,MAW,60221
2022-01-16T14:15+00:00Z,2022-01-16T14:30+00:00Z,10Y1001A1001A83F,MAW,60289
2022-01-16T14:30+00:00Z,2022-01-16T14:45+00:00Z,10Y1001A1001A83F,MAW,60612
2022-01-16T14:45+00:00Z,2022-01-16T15:00+00:00Z,10Y1001A1001A83F,MAW,60876
2022-01-16T15:00+00:00Z,2022-01-16T15:15+00:00Z,10Y1001A1001A83F,MAW,60959
2022-01-16T15:15+00:00Z,2022-01-16T15:30+00:00Z,10Y1001A1001A83F,MAW,61559
2022-01-16T15:30+00:00Z,2022-01-16T15:45+00:00Z,10Y1001A1001A83F,MAW,62580
2022-01-16T15:45+00:00Z,2022-01-16T16:00+00:00Z,10Y1001A1001A83F,MAW,64102
2022-01-16T16:00+00:00Z,2022-01-16T16:15+00:00Z,10Y1001A1001A83F,MAW,64763
2022-01-16T16:15+00:00Z,2022-01-16T16:30+00:00Z,10Y1001A1001A83F,MAW,65310
2022-01-16T16:30+00:00Z,2022-01-16T16:45+00:00Z,10Y1001A1001A83F,MAW,65603
2022-01-16T16:45+00:00Z,2022-01-16T17:00+00:00Z,10Y1001A1001A83F,MAW,66169
2022-01-16T17:00+00:00Z,2022-01-16T17:15+00:00Z,10Y1001A1001A83F,MAW,65680
2022-01-16T17:15+00:00Z,2022-01-16T17:30+00:00Z,10Y1001A1001A83F,MAW,65395
