StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2021-12-31T23:00+00:00Z,2022-01-01T00:00+00:00Z,10YPL-AREA-----S,MAW,B05,5685
2022-01-01T00:00+00:00Z,2022-01-01T01:00+00:00Z,10YPL-AREA-----S,MAW,B05,5683
2022-01-01T01:00+00:00Z,2022-01-01T02:00+00:00Z,10YPL-AREA-----S,MAW,B05,5704
2022-01-01T02:00+00:00Z,2022-01-01T03:00+00:00Z,10YPL-AREA-----S,MAW,B05,5621
2022-01-01T03:00+00:00Z,2022-01-01T04:00+00:00Z,10YPL-AREA-----S,MAW,B05,5621
2022-01-01T04:00+00:00Z,2022-01-01T05:00+00:00Z,10YPL-AREA-----S,MAW,B05,5651
2022-01-01T05:00+00:00Z,2022-01-01T06:00+00:00Z,10YPL-AREA-----S,MAW,B05,5666
2022-01-01T06:00+00:00Z,2022-01-01T07:00+00:00Z,10YPL-AREA-----S,MAW,B05,5592
2022-01-01T07:00+00:00Z,2022-01-01T08:00+00:00Z,10YPL-AREA-----S,MAW,B05,5601
2022-01-01T08:00+00:00Z,2022-01-01T09:00+00:00Z,10YPL-AREA-----S,MAW,B05,5620
2022-01-01T09:00+00:00Z,2022-01-01T10:00+00:00Z,10YPL-AREA-----S,MAW,B05,5668
2022-01-01T10:00+00:00Z,2022-01-01T11:00+00:00Z,10YPL-AREA-----S,MAW,B05,5811
2022-01-01T11:00+00:00Z,2022-01-01T12:00+00:00Z,10YPL-AREA-----S,MAW,B05,5933
2022-01-01T12:00+00:00Z,2022-01-01T13:00+00:00Z,10YPL-AREA-----S,MAW,B05,6025
2022-01-01T13:00+00:00Z,2022-01-01T14:00+00:00Z,10YPL-AREA-----S,MAW,B05,6410
2022-01-01T14:00+00:00Z,2022-01-01T15:00+00:00Z,10YPL-AREA-----S,MAW,B05,6764
2022-01-01T15:00+00:00Z,2022-01-01T16:00+00:00Z,10YPL-AREA-----S,MAW,B05,6600
2022-01-01T16:00+00:00Z,2022-01-01T17:00+00:00Z,10YPL-AREA-----S,MAW,B05,6606
2022-01-01T17:00+00:00Z,2022-01-01T18:00+00:00Z,10YPL-AREA-----S,MAW,B05,6536
2022-01-01T18:00+00:00Z,2022-01-01T19:00+00:00Z,10YPL-AREA-----S,MAW,B05,6414
2022-01-01T19:00+00:00Z,2022-01-01T20:00+00:00Z,10YPL-AREA-----S,MAW,B05,6423
2022-01-01T20:00+00:00Z,2022-01-01T21:00+00:00Z,10YPL-AREA-----S,MAW,B05,6265
2022-01-01T21:00+00:00Z,2022-01-01T22:00+00:00Z,10YPL-AREA-----S,MAW,B05,6102
2022-01-01T22:00+00:00Z,2022-01-01T23:00+00:00Z,10YPL-AREA-----S,MAW,B05,5997
2022-01-01T23:00+00:00Z,2022-01-02T00:00+00:00Z,10YPL-AREA-----S,MAW,B05,5900
2022-01-02T00:00+00:00Z,2022-01-02T01:00+00:00Z,10YPL-AREA-----S,MAW,B05,5812
2022-01-02T01:00+00:00Z,2022-01-02T02:00+00:00Z,10YPL-AREA-----S,MAW,B05,5748
2022-01-02T02:00+00:00Z,2022-01-02T03:00+00:00Z,10YPL-AREA-----S,MAW,B05,5688
2022-01-02T03:00+00:00Z,2022-01-02T04:00+00:00Z,10YPL-AREA-----S,MAW,B05,5754
2022-01-02T04:00+00:00Z,2022-01-02T05:00+00:00Z,10YPL-AREA-----S,MAW,B05,5821
2022-01-02T05:00+00:00Z,2022-01-02T06:00+00:00Z,10YPL-AREA-----S,MAW,B05,5828
2022-01-02T06:00+00:00Z,2022-01-02T07:00+00:00Z,10YPL-AREA-----S,MAW,B05,5808
2022-01-02T07:00+00:00Z,2022-01-02T08:00+00:00Z,10YPL-AREA-----S,MAW,B05,5839
2022-01-02T08:00+00:00Z,2022-01-02T09:00+00:00Z,10YPL-AREA-----S,MAW,B05,5832
2022-01-02T09:00+00:00Z,2022-01-02T10:00+00:00Z,10YPL-AREA-----S,MAW,B05,5806
2022-01-02T10:00+00:00Z,2022-01-02T11:00+00:00Z,10YPL-AREA-----S,MAW,B05,5828
2022-01-02T11:00+00:00Z,2022-01-02T12:00+00:00Z,10YPL-AREA-----S,MAW,B05,5819
2022-01-02T12:00+00:00Z,2022-01-02T13:00+00:00Z,10YPL-AREA-----S,MAW,B05,5887
2022-01-02T13:00+00:00Z,2022-01-02T14:00+00:00Z,10YPL-AREA-----S,MAW,B05,5874
2022-01-02T14:00+00:00Z,2022-01-02T15:00+00:00Z,10YPL-AREA-----S,MAW,B05,5802
2022-01-02T15:00+00:00Z,2022-01-02T16:00+00:00Z,10YPL-AREA-----S,MAW,B05,5846
2022-01-02T16:00+00:00Z,2022-01-02T17:00+00:00Z,10YPL-AREA-----S,MAW,B05,5955
2022-01-02T17:00+00:00Z,2022-01-02T18:00+00:00Z,10YPL-AREA-----S,MAW,B05,5991
2022-01-02T18:00+00:00Z,2022-01-02T19:00+00:00Z,10YPL-AREA-----S,MAW,B05,5823
2022-01-02T19:00+00:00Z,2022-01-02T20:00+00:00Z,10YPL-AREA-----S,MAW,B05,5792
2022-01-02T20:00+00:00Z,2022-01-02T21:00+00:00Z,10YPL-AREA-----S,MAW,B05,5732
2022-01-02T21:00+00:00Z,2022-01-02T22:00+00:00Z,10YPL-AREA-----S,MAW,B05,5551
2022-01-02T22:00+00:00Z,2022-01-02T23:00+00:00Z,10YPL-AREA-----S,MAW,B05,5536
2022-01-02T23:00+00:00Z,2022-01-03T00:00+00:00Z,10YPL-AREA-----S,MAW,B05,5621
2022-01-03T00:00+00:00Z,2022-01-03T01:00+00:00Z,10YPL-AREA-----S,MAW,B05,5616
2022-01-03T01:00+00:00Z,2022-01-03T02:00+00:00Z,10YPL-AREA-----S,MAW,B05,5752
2022-01-03T02:00+00:00Z,2022-01-03T03:00+00:00Z,10YPL-AREA-----S,MAW,B05,6087
2022-01-03T03:00+00:00Z,2022-01-03T04:00+00:00Z,10YPL-AREA-----S,MAW,B05,6559
2022-01-03T04:00+00:00Z,2022-01-03T05:00+00:00Z,10YPL-AREA-----S,MAW,B05,7314
2022-01-03T05:00+00:00Z,2022-01-03T06:00+00:00Z,10YPL-AREA-----S,MAW,B05,8558
2022-01-03T06:00+00:00Z,2022-01-03T07:00+00:00Z,10YPL-AREA-----S,MAW,B05,9216
2022-01-03T07:00+00:00Z,2022-01-03T08:00+00:00Z,10YPL-AREA-----S,MAW,B05,9306
2022-01-03T08:00+00:00Z,2022-01-03T09:00+00:00Z,10YPL-AREA-----S,MAW,B05,8472
2022-01-03T09:00+00:00Z,2022-01-03T10:00+00:00Z,10YPL-AREA-----S,MAW,B05,8394
2022-01-03T10:00+00:00Z,2022-01-03T11:00+00:00Z,10YPL-AREA-----S,MAW,B05,8518
2022-01-03T11:00+00:00Z,2022-01-03T12:00+00:00Z,10YPL-AREA-----S,MAW,B05,8593
2022-01-03T12:00+00:00Z,2022-01-03T13:00+00:00Z,10YPL-AREA-----S,MAW,B05,8633
2022-01-03T13:00+00:00Z,2022-01-03T14:00+00:00Z,10YPL-AREA-----S,MAW,B05,8475
2022-01-03T14:00+00:00Z,2022-01-03T15:00+00:00Z,10YPL-AREA-----S,MAW,B05,8743
2022-01-03T15:00+00:00Z,2022-01-03T16:00+00:00Z,10YPL-AREA-----S,MAW,B05,8646
2022-01-03T16:00+00:00Z,2022-01-03T17:00+00:00Z,10YPL-AREA-----S,MAW,B05,8756
2022-01-03T17:00+00:00Z,2022-01-03T18:00+00:00Z,10YPL-AREA-----S,MAW,B05,8976
2022-01-03T18:00+00:00Z,2022-01-03T19:00+00:00Z,10YPL-AREA-----S,MAW,B05,8829
2022-01-03T19:00+00:00Z,2022-01-03T20:00+00:00Z,10YPL-AREA-----S,MAW,B05,7848
2022-01-03T20:00+00:00Z,2022-01-03T21:00+00:00Z,10YPL-AREA-----S,MAW,B05,7314
2022-01-03T21:00+00:00Z,2022-01-03T22:00+00:00Z,10YPL-AREA-----S,MAW,B05,7273
2022-01-03T22:00+00:00Z,2022-01-03T23:00+00:00Z,10YPL-AREA-----S,MAW,B05,7233
2022-01-03T23:00+00:00Z,2022-01-04T00:00+00:00Z,10YPL-AREA-----S,MAW,B05,7238
2022-01-04T00:00+00:00Z,2022-01-04T01:00+00:00Z,10YPL-AREA-----S,MAW,B05,7269
2022-01-04T01:00+00:00Z,2022-01-04T02:00+00:00Z,10YPL-AREA-----S,MAW,B05,7292
2022-01-04T02:00+00:00Z,2022-01-04T03:00+00:00Z,10YPL-AREA-----S,MAW,B05,7384
2022-01-04T03:00+00:00Z,2022-01-04T04:00+00:00Z,10YPL-AREA-----S,MAW,B05,7535
2022-01-04T04:00+00:00Z,2022-01-04T05:00+00:00Z,10YPL-AREA-----S,MAW,B05,8016
2022-01-04T05:00+00:00Z,2022-01-04T06:00+00:00Z,10YPL-AREA-----S,MAW,B05,9364
2022-01-04T06:00+00:00Z,2022-01-04T07:00+00:00Z,10YPL-AREA-----S,MAW,B05,10105
2022-01-04T07:00+00:00Z,2022-01-04T08:00+00:00Z,10YPL-AREA-----S,MAW,B05,10195
2022-01-04T08:00+00:00Z,2022-01-04T09:00+00:00Z,10YPL-AREA-----S,MAW,B05,10188
2022-01-04T09:00+00:00Z,2022-01-04T10:00+00:00Z,10YPL-AREA-----S,MAW,B05,10413
2022-01-04T10:00+00:00Z,2022-01-04T11:00+00:00Z,10YPL-AREA-----S,MAW,B05,10432
2022-01-04T11:00+00:00Z,2022-01-04T12:00+00:00Z,10YPL-AREA-----S,MAW,B05,10420
2022-01-04T12:00+00:00Z,2022-01-04T13:00+00:00Z,10YPL-AREA-----S,MAW,B05,10449
2022-01-04T13:00+00:00Z,2022-01-04T14:00+00:00Z,10YPL-AREA-----S,MAW,B05,10472
2022-01-04T14:00+00:00Z,2022-01-04T15:00+00:00Z,10YPL-AREA-----S,MAW,B05,10351
2022-01-04T15:00+00:00Z,2022-01-04T16:00+00:00Z,10YPL-AREA-----S,MAW,B05,10073
2022-01-04T16:00+00:00Z,2022-01-04T17:00+00:00Z,10YPL-AREA-----S,MAW,B05,9839
2022-01-04T17:00+00:00Z,2022-01-04T18:00+00:00Z,10YPL-AREA-----S,MAW,B05,9457
2022-01-04T18:00+00:00Z,2022-01-04T19:00+00:00Z,10YPL-AREA-----S,MAW,B05,9084
2022-01-04T19:00+00:00Z,2022-01-04T20:00+00:00Z,10YPL-AREA-----S,MAW,B05,8488
2022-01-04T20:00+00:00Z,2022-01-04T21:00+00:00Z,10YPL-AREA-----S,MAW,B05,7524
2022-01-04T21:00+00:00Z,2022-01-04T22:00+00:00Z,10YPL-AREA-----S,MAW,B05,7508
2022-01-04T22:00+00:00Z,2022-01-04T23:00+00:00Z,10YPL-AREA-----S,MAW,B05,7510
2022-01-04T23:00+00:00Z,2022-01-05T00:00+00:00Z,10YPL-AREA-----S,MAW,B05,7520
2022-01-05T00:00+00:00Z,2022-01-05T01:00+00:00Z,10YPL-AREA-----S,MAW,B05,7400
2022-01-05T01:00+00:00Z,2022-01-05T02:00+00:00Z,10YPL-AREA-----S,MAW,B05,7420
2022-01-05T02:00+00:00Z,2022-01-05T03:00+00:00Z,10YPL-AREA-----S,MAW,B05,7500
