StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-01-01T14:45+00:00Z,2022-01-01T15:00+00:00Z,10YNL----------L,MAW,B05,2077
2022-01-01T15:00+00:00Z,2022-01-01T15:15+00:00Z,10YNL----------L,MAW,B05,2183
2022-01-01T15:15+00:00Z,2022-01-01T15:30+00:00Z,10YNL----------L,MAW,B05,2200
2022-01-01T15:30+00:00Z,2022-01-01T15:45+00:00Z,10YNL----------L,MAW,B05,2206
2022-01-01T15:45+00:00Z,2022-01-01T16:00+00:00Z,10YNL----------L,MAW,B05,2210
2022-01-01T16:00+00:00Z,2022-01-01T16:15+00:00Z,10YNL----------L,MAW,B05,2194
2022-01-01T16:15+00:00Z,2022-01-01T16:30+00:00Z,10YNL----------L,MAW,B05,2196
2022-01-01T16:30+00:00Z,2022-01-01T16:45+00:00Z,10YNL----------L,MAW,B05,2180
2022-01-01T16:45+00:00Z,2022-01-01T17:00+00:00Z,10YNL----------L,MAW,B05,2178
2022-01-01T17:00+00:00Z,2022-01-01T17:15+00:00Z,10YNL----------L,MAW,B05,2170
2022-01-01T17:15+00:00Z,2022-01-01T17:30+00:00Z,10YNL----------L,MAW,B05,2169
2022-01-01T17:30+00:00Z,2022-01-01T17:45+00:00Z,10YNL----------L,MAW,B05,2173
2022-01-01T17:45+00:00Z,2022-01-01T18:00+00:00Z,10YNL----------L,MAW,B05,2121
2022-01-01T18:00+00:00Z,2022-01-01T18:15+00:00Z,10YNL----------L,MAW,B05,2082
2022-01-01T18:15+00:00Z,2022-01-01T18:30+00:00Z,10YNL----------L,MAW,B05,2081
2022-01-01T18:30+00:00Z,2022-01-01T18:45+00:00Z,10YNL----------L,MAW,B05,2076
2022-01-01T18:45+00:00Z,2022-01-01T19:00+00:00Z,10YNL----------L,MAW,B05,2024
2022-01-01T19:00+00:00Z,2022-01-01T19:15+00:00Z,10YNL----------L,MAW,B05,1983
2022-01-01T19:15+00:00Z,2022-01-01T19:30+00:00Z,10YNL----------L,MAW,B05,1938
2022-01-01T19:30+00:00Z,2022-01-01T19:45+00:00Z,10YNL----------L,MAW,B05,1864
2022-01-01T19:45+00:00Z,2022-01-01T20:00+00:00Z,10YNL----------L,MAW,B05,1806
2022-01-01T20:00+00:00Z,2022-01-01T20:15+00:00Z,10YNL----------L,MAW,B05,1770
2022-01-01T20:15+00:00Z,2022-01-01T20:30+00:00Z,10YNL----------L,MAW,B05,1752
2022-01-01T20:30+00:00Z,2022-01-01T20:45+00:00Z,10YNL----------L,MAW,B05,1757
2022-01-01T20:45+00:00Z,2022-01-01T21:00+00:00Z,10YNL----------L,MAW,B05,1757
2022-01-01T21:00+00:00Z,2022-01-01T21:15+00:00Z,10YNL----------L,MAW,B05,1751
2022-01-01T21:15+00:00Z,2022-01-01T21:30+00:00Z,10YNL----------L,MAW,B05,1755
2022-01-01T21:30+00:00Z,2022-01-01T21:45+00:00Z,10YNL----------L,MAW,B05,1758
2022-01-01T21:45+00:00Z,2022-01-01T22:00+00:00Z,10YNL----------L,MAW,B05,1770
2022-01-01T22:00+00:00Z,2022-01-01T22:15+00:00Z,10YNL----------L,MAW,B05,1764
2022-01-01T22:15+00:00Z,2022-01-01T22:30+00:00Z,10YNL----------L,MAW,B05,1763
2022-01-01T22:30+00:00Z,2022-01-01T22:45+00:00Z,10YNL----------L,MAW,B05,1767
2022-01-01T22:45+00:00Z,2022-01-01T23:00+00:00Z,10YNL----------L,MAW,B05,1770
2022-01-01T23:00+00:00Z,2022-01-01T23:15+00:00Z,10YNL----------L,MAW,B05,1769
2022-01-01T23:15+00:00Z,2022-01-01T23:30+00:00Z,10YNL----------L,MAW,B05,1742
2022-01-01T23:30+00:00Z,2022-01-01T23:45+00:00Z,10YNL----------L,MAW,B05,1735
2022-01-01T23:45+00:00Z,2022-01-02T00:00+00:00Z,10YNL----------L,MAW,B05,1727
2022-01-02T00:00+00:00Z,2022-01-02T00:15+00:00Z,10YNL----------L,MAW,B05,1727
2022-01-02T00:15+00:00Z,2022-01-02T00:30+00:00Z,10YNL----------L,MAW,B05,1689
2022-01-02T00:30+00:00Z,2022-01-02T00:45+00:00Z,10YNL----------L,MAW,B05,1677
2022-01-02T00:45+00:00Z,2022-01-02T01:00+00:00Z,10YNL----------L,MAW,B05,1664
2022-01-02T01:00+00:00Z,2022-01-02T01:15+00:00Z,10YNL----------L,MAW,B05,1672
2022-01-02T01:15+00:00Z,2022-01-02T01:30+00:00Z,10YNL----------L,MAW,B05,1664
2022-01-02T01:30+00:00Z,2022-01-02T01:45+00:00Z,10YNL----------L,MAW,B05,1626
2022-01-02T01:45+00:00Z,2022-01-02T02:00+00:00Z,10YNL----------L,MAW,B05,1548
2022-01-02T02:00+00:00Z,2022-01-02T02:15+00:00Z,10YNL----------L,MAW,B05,1537
2022-01-02T02:15+00:00Z,2022-01-02T02:30+00:00Z,10YNL----------L,MAW,B05,1544
2022-01-02T02:30+00:00Z,2022-01-02T02:45+00:00Z,10YNL----------L,MAW,B05,1552
2022-01-02T02:45+00:00Z,2022-01-02T03:00+00:00Z,10YNL----------L,MAW,B05,1514
2022-01-02T03:00+00:00Z,2022-01-02T03:15+00:00Z,10YNL----------L,MAW,B05,1447
2022-01-02T03:15+00:00Z,2022-01-02T03:30+00:00Z,10YNL----------L,MAW,B05,1473
2022-01-02T03:30+00:00Z,2022-01-02T03:45+00:00Z,10YNL----------L,MAW,B05,1495
