StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2021-12-31T23:00+00:00Z,2022-01-01T00:00+00:00Z,10YES-REE------0,MAW,B11,1082
2022-01-01T00:00+00:00Z,2022-01-01T01:00+00:00Z,10YES-REE------0,MAW,B11,1046
2022-01-01T01:00+00:00Z,2022-01-01T02:00+00:00Z,10YES-REE------0,MAW,B11,1045
2022-01-01T02:00+00:00Z,2022-01-01T03:00+00:00Z,10YES-REE------0,MAW,B11,1049
2022-01-01T03:00+00:00Z,2022-01-01T04:00+00:00Z,10YES-REE------0,MAW,B11,1031
2022-01-01T04:00+00:00Z,2022-01-01T05:00+00:00Z,10YES-REE------0,MAW,B11,1016
2022-01-01T05:00+00:00Z,2022-01-01T06:00+00:00Z,10YES-REE------0,MAW,B11,1018
2022-01-01T06:00+00:00Z,2022-01-01T07:00+00:00Z,10YES-REE------0,MAW,B11,1029
2022-01-01T07:00+00:00Z,2022-01-01T08:00+00:00Z,10YES-REE------0,MAW,B11,1037
2022-01-01T08:00+00:00Z,2022-01-01T09:00+00:00Z,10YES-REE------0,MAW,B11,1049
2022-01-01T09:00+00:00Z,2022-01-01T10:00+00:00Z,10YES-REE------0,MAW,B11,1059
2022-01-01T10:00+00:00Z,2022-01-01T11:00+00:00Z,10YES-REE------0,MAW,B11,1053
2022-01-01T11:00+00:00Z,2022-01-01T12:00+00:00Z,10YES-REE------0,MAW,B11,1049
2022-01-01T12:00+00:00Z,2022-01-01T13:00+00:00Z,10YES-REE------0,MAW,B11,1042
2022-01-01T13:00+00:00Z,2022-01-01T14:00+00:00Z,10YES-REE------0,MAW,B11,1039
2022-01-01T14:00+00:00Z,2022-01-01T15:00+00:00Z,10YES-REE------0,MAW,B11,1068
2022-01-01T15:00+00:00Z,2022-01-01T16:00+00:00Z,10YES-REE------0,MAW,B11,1161
2022-01-01T16:00+00:00Z,2022-01-01T17:00+00:00Z,10YES-REE------0,MAW,B11,1230
2022-01-01T17:00+00:00Z,2022-01-01T18:00+00:00Z,10YES-REE------0,MAW,B11,1169
2022-01-01T18:00+00:00Z,2022-01-01T19:00+00:00Z,10YES-REE------0,MAW,B11,1177
2022-01-01T19:00+00:00Z,2022-01-01T20:00+00:00Z,10YES-REE------0,MAW,B11,1159
